username,posts_per_day,likes_per_day,comments_per_day,shares_per_day,online_minutes
ayla_97,5,120,14,2,90
kamran_pro,1,15,2,0,25
narmin_sky,8,300,40,3,160
rustam.tech,3,50,5,1,45
leyla_star,10,500,70,5,200
ilkin_dev,2,30,4,1,35
samir_dark,7,280,35,2,150
luna_zero,0,5,0,0,10
tunar_wave,4,90,10,1,70
melisa_22,9,450,60,4,180
ferid_master,6,220,25,3,130
selena_q,3,55,6,1,50
altay_x,12,700,90,6,250
aida_flow,1,20,3,0,30
nia_lotus,5,140,18,2,100
emil_speed,7,260,32,2,145
kamil_mode,2,35,4,0,40
vika_diamond,8,310,38,3,170
adil_point,10,480,68,4,210
diana_glow,11,650,95,6,270
orxan_live,4,85,11,1,65
flora_snow,0,10,1,0,15
ramil_zone,6,200,22,2,120
maral_day,3,60,7,1,55
zara_future,9,410,55,4,175
nadir_88,5,150,20,2,110
sena_blue,1,25,3,0,28
kenan_vortex,7,300,36,3,160
dilara_art,2,32,4,1,38
atlas_north,4,95,12,1,75
amira_silver,11,680,100,6,260
fuad_line,6,210,24,2,135
roja_mint,3,58,6,1,48
hilal_shadow,8,320,37,3,168
taleh_prime,10,520,72,5,220
borg_azeri,2,28,3,1,33
nana_rose,5,130,15,2,95
rafael_darkmoon,7,270,30,2,140
sima_light,0,8,0,0,12
ulvi_vision,4,88,9,1,68
mira_cosmos,12,720,110,7,280
elmar_quant,6,190,20,2,125
gunel_pearl,3,52,5,1,47
yusif_rapid,9,430,58,4,185
elza_storm,5,160,22,2,115
arzu_neon,8,340,42,3,175
zahid_sprint,2,30,4,0,36
sofia_glass,7,250,33,2,142
murad_alpha,10,540,75,5,230
lara_sunset,1,12,1,0,20
